,Clean_text,Views_per_day
190,"['leon', 'panetta', 'india', 'role', 'bin', 'laden', 'mission']",3333.0
191,"['china', 'india', 'suffering']",3333.0
192,['everyone'],5000.0
193,"['japan', 'destroyer', 'china', 'liaoning', 'aircraft', 'okinawa']",3333.0
194,"['new', 'variant', 'wuhan', 'virus']",6667.0
195,"['wuhan', 'coronavirus', 'taiwan', 'claim']",1667.0
196,"['indonesia', 'suffers', 'vaccines']",3636.0
197,"['china', 'dump', 'imran', 'khan', 'rajapaksas']",20000.0
198,"['russian', 'convoy', 'towards', 'kyiv', 'invasion', 'enters', 'day']",13333.0
199,"['leader', 'pressure', 'china']",1667.0
200,"['coronavirus', 'wuhan', 'lab']",1667.0
201,"['truckers', 'antitrudeau', 'movement']",10000.0
202,"['peace', 'talk', 'conflict', 'enters', 'day', 'updates']",12222.0
203,"['india', 'ukraine']",12222.0
204,"['question', 'china', 'wuhan', 'coronavirus']",1528.0
205,"['black', 'fungus', 'rise', 'india', 'covid', 'infection']",3056.0
206,"['woman', 'facebook', 'metaverse']",9167.0
207,"['submarine', 'patrol', 'south', 'china', 'sea']",3056.0
208,"['day', 'invasion', 'ukraine', 'kremlin', 'control']",12222.0
209,"['hundred', 'bird', 'death', 'mexico']",9167.0
210,"['mosquito', 'florida']",3056.0
211,"['crude', 'oil', 'skyrocket', 'how', 'ukraine', 'war', 'household', 'budget']",12222.0
212,"['tech', 'youtube', 'outrage']",18333.0
213,"['india', 'wave', 'june']",12222.0
214,"['kabul', 'airport', 'staff', 'country', 'taliban', 'kabul', 'afghanistan']",3667.0
215,"['wuhan', 'coronavirus', 'country', 'india', 'medicine', 'supply']",1528.0
216,"['ukraine', 'soldier', 'invasion', 'ukraine']",12222.0
217,"['are', 'norway', 'sweden', 'victim', 'islamisation']",3056.0
218,"['plus', 'france', 'elections']",18333.0
219,[],3056.0
220,"['plus', 'financial', 'literacy', 'need', 'hour']",3333.0
221,"['saudi', 'royals', 'asset']",36667.0
222,"['putinmacron', 'conversation', 'set', 'condition', 'settlement', 'ukraine', 'conflict']",12222.0
223,"['china', 'attempt', 'praise', 'backfire', 'wuhan', 'coronavirus']",1528.0
224,"['war', 'word', 'taiwan', 'taiwan', 'independence', 'fineprint']",100000.0
225,"['india', 'vaccine', 'prince']",3056.0
226,"['future', 'oil']",3056.0
227,"['china', 'replica', 'taiwan', 'base']",36667.0
228,"['harvard', 'professor', 'coronavirus', 'outbreak', 'covid', 'coronavirus']",1528.0
229,"['government', 'billion', 'aid']",3056.0
230,"['citizen', 'government']",1528.0
231,"['russia', 'mercenary', 'ukraine', 'fighter', 'kyiv']",12222.0
232,"['today', 'wave', 'crackdown', 'china', 'wuhan', 'coronavirus']",1528.0
233,"['divide', 'split']",4583.0
234,"['sri', 'lankan', 'sensation', 'yohani', 'song', 'manike', 'mage', 'hithe']",4167.0
235,['history'],2778.0
236,"['italy', 'claim', 'covid', 'vaccine', 'vaccine', 'humans', 'covid', 'vaccine']",1389.0
237,"['year', 'independence', 'time', 'india', 'heritage']",8333.0
238,"['president', 'joe', 'biden', 'reveals', 'america', 'deal', 'taliban', 'secret', 'deal', 'afghanistan']",3333.0
239,"['sore', 'loser', 'england', 'fan', 'savage', 'euro', 'loss']",3030.0
240,"['where', 'vladimir', 'putin', 'family']",11111.0
241,"['america', 'covid', 'crisis', 'press']",3704.0
242,"['jinping', 'mind', 'chinese', 'president']",4762.0
243,"['putin', 'bet', 'india', 'help', 'energy', 'sector']",11111.0
244,"['india', 'unga', 'hall', 'pakistan', 'speech']",2778.0
245,"['full', 'interview', 'sushant', 'singh', 'rajput', 'kriti', 'sanon']",556.0
246,"['ceo', 'people', 'zoom', 'call']",5556.0
247,"['imf', 'pakistan', 'borrowing', 'request', 'imran', 'khan', 'money', 'country']",5556.0
248,"['conflict', 'russia', 'vacuum', 'bomb', 'invasion', 'ukraine']",11111.0
249,"['russia', 'end', 'ceasefire', 'evacuation', 'ceasefire', 'violation']",11111.0
250,"['yuan', 'threat', 'dollar']",2778.0
251,"['wuhan', 'flood', 'natural', 'deliberate']",2778.0
252,"['turkey', 'muslim', 'nation', 'israel', 'recep', 'tayyip', 'erdogan', 'israelpalestine']",2778.0
253,"['day', 'invasion', 'ukraine', 'unsc', 'emergency', 'meeting', 'assembly']",11111.0
254,"['explosion', 'iran', 'city']",2778.0
255,"['china', 'portrait', 'prophet', 'muhammad']",2778.0
256,"['america', 'answer', 'aggression']",2778.0
257,"['india', 'diplomacy', 'china']",2778.0
258,"['defence', 'giants', 'billion', 'ukraine', 'war']",33333.0
259,"['death', 'toll', 'gaza', 'rise', 'palestineisrael', 'conflict', 'lebanon']",2778.0
260,"['india', 'neutrality', 'ukraine', 'backfiring']",11111.0
261,"['russia', 'claim', 'ukraine', 'indians']",11111.0
262,"['twitter', 'suspends', 'virologist', 'robert', 'malone', 'account', 'claim', 'pfizer', 'vaccine']",6667.0
263,"['straight', 'talk', 'taiwan', 'invasion', 'interview', 'joseph']",2778.0
264,"['ukrainians', 'till', 'finish', 'explosion', 'kyiv', 'russiaukraine', 'conflict']",11111.0
265,['stock'],33333.0
266,"['spain', 'expats', 'property', 'life', 'european', 'union']",2778.0
267,"['india', 'resolve']",2778.0
268,"['ukraine', 'nato', 'bid', 'tension', 'international', 'headlines']",11111.0
269,"['reactions', 'rebuttal', 'ilhan', 'omar', 'antiindia', 'rhetoric']",1389.0
270,"['president', 'joe', 'biden', 'bike', 'beach', 'ride']",250000.0
271,"['america', 'capitulation', 'kabul']",3333.0
272,"['largest', 'mass', 'execution', 'memory', 'saudi', 'arabia', 'men', 'day']",11111.0
273,"['exercise', 'puneeth', 'rajkumar', 'death']",2778.0
274,"['emmanuel', 'macron', 'issue', 'ultimatum', 'muslim', 'leaders']",2778.0
275,"['ukraine', 'invasion', 'modi', 'biden']",16667.0
276,"['ground', 'reality', 'taliban', 'rule', 'kabul']",3333.0
277,"['israel', 'gaza', 'border', 'fence', 'barrier', 'sensor']",5556.0
278,"['girl', 'train']",556.0
279,"['report', 'death', 'rise', 'case', 'month', 'coronavirus']",4743.0
280,"['biden', 'putin']",11056.0
281,"['are', 'review']",2767.0
282,"['north', 'korea', 'pakistan']",11044.0
283,"['china', 'half', 'tajikistan', 'land']",2758.0
284,"['look', 'today', 'kashmir', 'part']",551.0
285,"['erdogan', 'islamic', 'domination']",2756.0
286,"['pulwama', 'attack', 'pakistan', 'terror']",917.0
287,"['russia', 'ukraine', 'invasion', 'day', 'first', 'sign', 'compromise', 'ukraine']",11000.0
288,"['taliban', 'india']",3663.0
289,"['boy', 'fight', 'dog', 'sister', 'bridger', 'walker']",2744.0
290,"['official', 'pcr', 'test', 'may']",4117.0
291,"['missiles', 'land', 'iraq']",10978.0
292,"['day', 'russia', 'invasion', 'battle', 'kyiv']",10967.0
293,"['story', 'shehbaz', 'sharif']",16450.0
294,"['china', 'jackie', 'chan', 'campaign']",1362.0
295,"['oligarchs', 'pinch', 'sanction', 'russiaukraine', 'conflict']",10878.0
296,"['china', 'war', 'india']",1360.0
297,"['taiwan', 'brace', 'invasion', 'ukraine', 'taiwan']",70071.0
298,"['plus', 'india', 'ukraine', 'dilemma']",10822.0
299,"['shamima', 'begum']",2694.0
300,"['israel', 'jews', 'report', 'invasion']",8083.0
301,"['wuhan', 'coronavirus', 'revolt', 'jinping']",1340.0
302,"['nigeria', 'astrazeneca', 'covid', 'vaccine', 'omicron', 'variant', 'health']",5356.0
303,"['sri', 'lanka', 'crisis', 'explodes', 'protesters', 'president', 'home']",16050.0
304,"['president', 'china', 'consequence', 'covid']",1336.0
305,"['alert', 'philippines', 'china', 'presence', 'philippines', 'china']",2664.0
306,"['ukraine', 'direct', 'athletes', 'china', 'quarantine', 'camp']",7992.0
307,"['saudi', 'arabia', 'uae', 'decline', 'fear', 'oil', 'price', 'spike', 'international']",10611.0
308,"['attack', 'counting', 'saudi', 'arabia', 'attack']",5306.0
309,"['germany', 'warship']",2653.0
310,"['jerusalem', 'clashes', 'palestinians', 'israeli', 'police', 'alaqsa', 'mosque']",2647.0
311,"['conflict', 'ukraine', 'president', 'zelensky']",10556.0
312,"['new', 'threat', 'china', 'brain', 'control', 'weapons', 'boris', 'johnson', 'way']",5278.0
313,"['ground', 'report', 'look', 'india', 'aircraft', 'carrier', 'ins', 'vikrant']",4529.0
314,"['gorges', 'dam', 'china', 'dam', 'doom', 'china', 'flood']",2633.0
315,"['imran', 'khan', 'grip', 'reality']",6320.0
316,"['navy', 'hollow', 'force']",4533.0
317,"['israel', 'practice', 'strike', 'iran']",31567.0
318,"['heavy', 'kyiv', 'invasion', 'enters', 'day']",10467.0
319,"['demand', 'who', 'boss', 'resignation']",1308.0
320,"['blow', 'benjamin', 'netanyahu', 'palestineisrael', 'conflict']",2614.0
321,"['how', 'china', 'water']",2611.0
322,"['mystery', 'russia', 'symbol']",10433.0
323,"['battle', 'dalai', 'lama', 'soul']",2600.0
324,"['taliban', 'pakistan', 'war', 'tension', 'durand', 'line']",5200.0
325,"['india', 'lion', 'covid', 'india', 'coronavirus']",2597.0
326,"['product', 'risk', 'chemical']",5189.0
327,"['russia', 'order', 'ukraine']",7767.0
328,"['israel', 'breakthrough', 'develops', 'vaccine']",1294.0
329,"['afghanistan', 'crisis', 'afghans', 'america', 'mistake']",3100.0
330,"['taliban', 'reign', 'terror']",3100.0
